variable,interval,flag_1,flag_0,N,bad_rate,y1_total,y0_total,y1_percent,y0_percent,WOE,y0/y1,total_percent,MIV,ori_IV
int_rate,"0,5.32",36,6760,6796,0.005297234,11618,186091,0.00309864,0.036326313,2.461579049,187.7777778,0.034373751,0.081792545,0.531125771
int_rate,"5.32,7.49",190,13343,13533,0.014039755,11618,186091,0.016353934,0.071701479,1.478042928,70.22631579,0.068449084,0.081806049,0.531125771
int_rate,"7.49,8.24",385,18487,18872,0.020400593,11618,186091,0.033138234,0.099343869,1.097899545,48.01818182,0.095453419,0.072687137,0.531125771
int_rate,"8.24,11.44",1100,32136,33236,0.033096642,11618,186091,0.094680668,0.172689706,0.600986535,29.21454545,0.16810565,0.046882381,0.531125771
int_rate,"11.44,12.74",1448,30137,31585,0.045844546,11618,186091,0.124634188,0.161947649,0.261890177,20.8128453,0.159754993,0.009772029,0.531125771
int_rate,"12.74,15.99",3309,48883,52192,0.063400521,11618,186091,0.284816664,0.262683311,-0.080896523,14.77274101,0.263983936,0.001790511,0.531125771
int_rate,"15.99,18.99",1991,18675,20666,0.096341817,11618,186091,0.171372009,0.100354128,-0.535131476,9.379708689,0.104527361,0.038003904,0.531125771
int_rate,"18.99,22.74",1245,8791,10036,0.124053408,11618,186091,0.107161301,0.047240329,-0.819087241,7.061044177,0.050761473,0.049080504,0.531125771
int_rate,"22.74,26.24",1046,5723,6769,0.154527995,11618,186091,0.090032708,0.030753771,-1.074160404,5.471319312,0.034237187,0.063675087,0.531125771
int_rate,26.24+,868,3156,4024,0.215705765,11618,186091,0.074711654,0.016959445,-1.482811215,3.6359447,0.020353145,0.085635624,0.531125771
grade,"0,0.0",384,27384,27768,0.013828868,11618,186091,0.03305216,0.147153812,1.493391446,71.3125,0.140448841,0.17039843,0.48513198
grade,"0.0,1.0",2028,58512,60540,0.033498513,11618,186091,0.174556722,0.314426813,0.588501594,28.85207101,0.306207608,0.082313771,0.48513198
grade,"1.0,2.0",4055,63841,67896,0.059723695,11618,186091,0.349027371,0.34306334,-0.017235252,15.74377312,0.343413805,0.000102792,0.48513198
grade,"2.0,3.0",2823,24462,27285,0.103463441,11618,186091,0.242985023,0.131451817,-0.614359438,8.665249734,0.138005857,0.068521478,0.48513198
grade,"3.0,4.0",1438,8647,10085,0.142588002,11618,186091,0.123773455,0.046466514,-0.979721001,6.013212796,0.051009312,0.075739234,0.48513198
grade,"4.0,5.0",656,2532,3188,0.205771644,11618,186091,0.056464107,0.013606246,-1.423076187,3.859756098,0.016124709,0.060990001,0.48513198
grade,5.0+,234,713,947,0.247096093,11618,186091,0.02014116,0.003831459,-1.659519877,3.047008547,0.004789868,0.027066274,0.48513198
verification_status,"0,0.0",2468,59806,62274,0.039631307,11618,186091,0.212428989,0.3213804,0.414017703,24.23257699,0.314978074,0.045107813,0.081454843
verification_status,"0.0,1.0",4564,73405,77969,0.058536085,11618,186091,0.392838699,0.39445755,0.004112439,16.0834794,0.394362422,6.66E-06,0.081454843
verification_status,1.0+,4586,52880,57466,0.07980371,11618,186091,0.394732312,0.28416205,-0.328663171,11.53074575,0.290659505,0.036340373,0.081454843
acc_open_past_24mths,"0,1.0",1076,26263,27339,0.039357694,11618,186091,0.092614908,0.141129877,0.421230461,24.40799257,0.138278986,0.020435983,0.072650535
acc_open_past_24mths,"1.0,3.0",2639,53386,56025,0.047103971,11618,186091,0.22714753,0.28688115,0.2334683,20.22963244,0.283371015,0.013945907,0.072650535
acc_open_past_24mths,"3.0,5.0",3015,48017,51032,0.059080577,11618,186091,0.259511103,0.258029674,-0.005724897,15.92603648,0.258116727,8.48E-06,0.072650535
acc_open_past_24mths,"5.0,6.0",1208,16958,18166,0.066497853,11618,186091,0.103976588,0.091127459,-0.131906582,14.03807947,0.091882514,0.001694885,0.072650535
acc_open_past_24mths,"6.0,7.0",993,12565,13558,0.073240891,11618,186091,0.085470821,0.067520729,-0.235740396,12.65357503,0.068575533,0.004231562,0.072650535
acc_open_past_24mths,"7.0,10.0",1707,19780,21487,0.079443384,11618,186091,0.146927182,0.106292083,-0.323746299,11.58758055,0.108679929,0.013155463,0.072650535
acc_open_past_24mths,10.0+,980,9122,10102,0.097010493,11618,186091,0.084351868,0.049019028,-0.542788396,9.308163265,0.051095297,0.019178255,0.072650535
inq_last_12m,"0,0.0",2376,53019,55395,0.042891958,11618,186091,0.204510243,0.284908996,0.331551757,22.31439394,0.280184514,0.026656348,0.066037703
inq_last_12m,"0.0,1.0",2519,45359,47878,0.052612891,11618,186091,0.21681873,0.243746339,0.117066434,18.00674871,0.242163988,0.003152319,0.066037703
inq_last_12m,"1.0,2.0",2069,31859,33928,0.06098208,11618,186091,0.178085729,0.171201187,-0.039425664,15.39826003,0.171605744,0.000271428,0.066037703
inq_last_12m,"2.0,4.0",2538,33948,36486,0.069560927,11618,186091,0.218454123,0.182426877,-0.180226609,13.37588652,0.184543951,0.006493068,0.066037703
inq_last_12m,"4.0,6.0",1166,12893,14059,0.082936197,11618,186091,0.100361508,0.069283308,-0.370574741,11.05746141,0.07110956,0.011516796,0.066037703
inq_last_12m,"6.0,18.0",928,8862,9790,0.094790603,11618,186091,0.079876054,0.047621862,-0.517184163,9.549568966,0.04951722,0.016681357,0.066037703
inq_last_12m,"18.0,24.0",22,125,147,0.149659864,11618,186091,0.001893613,0.000671714,-1.036408898,5.681818182,0.000743517,0.001266387,0.066037703
inq_last_12m,24.0+,0,26,26,0,11618,186091,0,0.000139717,0,inf,0.000131506,0,0.066037703
inq_last_6mths,"0,0.0",6171,118277,124448,0.049586976,11618,186091,0.531158547,0.63558689,0.17948825,19.16658564,0.629450354,0.018743661,0.064638586
inq_last_6mths,"0.0,1.0",3333,47357,50690,0.065752614,11618,186091,0.286882424,0.254483022,-0.119838337,14.20852085,0.256386912,0.00388269,0.064638586
inq_last_6mths,"1.0,2.0",1328,14596,15924,0.083396132,11618,186091,0.114305388,0.078434744,-0.376606714,10.99096386,0.080542616,0.013509125,0.064638586
inq_last_6mths,"2.0,3.0",507,4140,4647,0.109102647,11618,186091,0.043639181,0.02224718,-0.673740119,8.165680473,0.023504241,0.014412649,0.064638586
inq_last_6mths,3.0+,279,1721,2000,0.1395,11618,186091,0.02401446,0.009248164,-0.954231167,6.168458781,0.010115877,0.014090461,0.064638586
mths_since_rcnt_il,"0,0.0",335,4915,5250,0.063809524,11618,186091,0.028834567,0.026411809,-0.087763681,14.67164179,0.026554178,0.00021263,0.051703345
mths_since_rcnt_il,"0.0,3.0",1534,17206,18740,0.08185699,11618,186091,0.132036495,0.09246014,-0.356300725,11.21642764,0.094785771,0.014101084,0.051703345
