var_name,min,max,PctRec,bad_rate,WOE,score
grade,0,1,0.140448841,0.013828868,1.493391446,123.1398674
grade,1,2,0.306207608,0.033498513,0.588501594,67.76080445
grade,2,3,0.343413805,0.059723695,-0.017235252,30.68984066
grade,3,4,0.138005857,0.103463441,-0.614359438,-5.854030179
grade,4,5,0.051009312,0.142588002,-0.979721001,-28.21407871
grade,5,7,0.020914576,0.215235792,-1.480031015,-58.83294322
verification_status,0,1,0.314978074,0.039631307,0.414017703,43.78789575
verification_status,1,2,0.394362422,0.058536085,0.004112439,31.86426013
verification_status,2,2,0.290659505,0.07980371,-0.328663171,22.18423043
acc_open_past_24mths,0,2,0.138278986,0.039357694,0.421230461,40.61098003
acc_open_past_24mths,2,4,0.283371015,0.047103971,0.2334683,36.65883417
acc_open_past_24mths,4,6,0.258116727,0.059080577,-0.005724897,31.62413283
acc_open_past_24mths,6,7,0.091882514,0.066497853,-0.131906582,28.96817477
acc_open_past_24mths,7,10,0.152861023,0.075871881,-0.27387561,25.97991397
acc_open_past_24mths,10,inf,0.075489735,0.092931323,-0.495322777,21.31874316
inq_last_12m,0,1,0.280184514,0.042891958,0.331551757,39.27989309
inq_last_12m,1,2,0.242163988,0.052612891,0.117066434,34.40523215
inq_last_12m,2,4,0.171605744,0.06098208,-0.039425664,30.84859756
inq_last_12m,4,6,0.184543951,0.069560927,-0.180226609,27.64857968
inq_last_12m,6,7,0.07110956,0.082936197,-0.370574741,23.32249062
inq_last_12m,7,inf,0.050392243,0.095352805,-0.523718908,19.8419453
inq_last_6mths,0,1,0.629450354,0.049586976,0.17948825,36.2297831
inq_last_6mths,1,2,0.256386912,0.065752614,-0.119838337,28.75004967
inq_last_6mths,2,3,0.080542616,0.083396132,-0.376606714,22.33378364
inq_last_6mths,3,4,0.023504241,0.109102647,-0.673740119,14.90885464
inq_last_6mths,4,inf,0.010115877,0.1395,-0.954231167,7.899793751
dti,0,16.4501,0.429231851,0.048089273,0.21173193,37.4640062
dti,16.4501,21.01011,0.191918426,0.056978705,0.032731073,32.62877676
dti,21.01011,24.701,0.137130834,0.064768368,-0.103703289,28.94336737
dti,24.701,25.7301,0.108836725,0.071103262,-0.203815824,26.23909498
dti,25.7301,inf,0.132882165,0.079514312,-0.324715757,22.97330661
all_util,0,44,0.221355629,0.043917375,0.306854127,36.82492099
all_util,44,54,0.156492623,0.050646412,0.15723274,34.34778457
all_util,54,65,0.210981796,0.059262101,-0.008985603,31.59586844
all_util,65,77,0.148485906,0.065606159,-0.117451734,29.80009974
all_util,77,inf,0.262684046,0.0718398,-0.214914471,28.1865036
il_util,0,70,0.52122564,0.048791375,0.196499672,34.92712962
il_util,70,inf,0.47877436,0.06961905,-0.181124287,28.81115781
mo_sin_rcnt_rev_tl_op,0,2,0.077027348,0.082014577,-0.358395676,25.97365615
mo_sin_rcnt_rev_tl_op,2,6,0.28547006,0.064918498,-0.106179087,30.03491174
mo_sin_rcnt_rev_tl_op,6,17,0.379426329,0.058347553,0.00753866,31.86602378
mo_sin_rcnt_rev_tl_op,17,35,0.181554709,0.049059758,0.190731944,34.81584857
mo_sin_rcnt_rev_tl_op,35,inf,0.076521554,0.037477692,0.472131189,39.34701071
home_ownership,0,0,0.493983582,0.049751702,0.175998456,42.8972649
home_ownership,1,inf,0.506016418,0.067560273,-0.148895809,22.30943827
