var_name,min,max,PctRec,bad_rate,WOE,score
grade,0,1,0.140448841,0.013828868,1.493391446,114.3464037
grade,1,2,0.306207608,0.033498513,0.588501594,59.81383074
grade,2,3,0.343413805,0.059723695,-0.017235252,23.3095107
grade,3,4,0.138005857,0.103463441,-0.614359438,-12.67577322
grade,4,5,0.051009312,0.142588002,-0.979721001,-34.69403993
grade,5,7,0.020914576,0.215235792,-1.480031015,-64.84488349
verification_status,0,1,0.314978074,0.039631307,0.414017703,36.23513834
verification_status,1,2,0.394362422,0.058536085,0.004112439,24.46625466
verification_status,2,2,0.290659505,0.07980371,-0.328663171,14.91185808
acc_open_past_24mths,0,2,0.138278986,0.039357694,0.421230461,32.64393857
acc_open_past_24mths,2,4,0.283371015,0.047103971,0.2334683,28.94613078
acc_open_past_24mths,4,6,0.258116727,0.059080577,-0.005724897,24.23543475
acc_open_past_24mths,6,7,0.091882514,0.066497853,-0.131906582,21.75039934
acc_open_past_24mths,7,10,0.152861023,0.075871881,-0.27387561,18.95444634
acc_open_past_24mths,10,inf,0.075489735,0.092931323,-0.495322777,14.5932425
inq_last_12m,0,1,0.280184514,0.042891958,0.331551757,30.83985635
inq_last_12m,1,2,0.242163988,0.052612891,0.117066434,26.64030394
inq_last_12m,2,4,0.171605744,0.06098208,-0.039425664,23.57623988
inq_last_12m,4,6,0.184543951,0.069560927,-0.180226609,20.81940346
inq_last_12m,6,7,0.07110956,0.082936197,-0.370574741,17.09244933
inq_last_12m,7,inf,0.050392243,0.095352805,-0.523718908,14.09393667
inq_last_6mths,0,1,0.629450354,0.049586976,0.17948825,29.04395049
inq_last_6mths,1,2,0.256386912,0.065752614,-0.119838337,21.21297262
inq_last_6mths,2,3,0.080542616,0.083396132,-0.376606714,14.49540203
inq_last_6mths,3,4,0.023504241,0.109102647,-0.673740119,6.721802171
inq_last_6mths,4,inf,0.010115877,0.1395,-0.954231167,-0.616400619
mths_since_rcnt_il,0,4,0.121339949,0.077907461,-0.302556327,18.97733289
mths_since_rcnt_il,4,9,0.2065561,0.069983839,-0.186742556,21.03320868
mths_since_rcnt_il,9,13,0.145425853,0.063334725,-0.079787943,22.93182054
mths_since_rcnt_il,13,16,0.117172208,0.058490892,0.004932794,24.43574629
mths_since_rcnt_il,16,inf,0.40950589,0.045885157,0.260962165,28.98066856
dti,0,16.4501,0.429231851,0.048089273,0.21173193,30.0361028
dti,16.4501,21.01011,0.191918426,0.056978705,0.032731073,25.22746202
dti,21.01011,24.701,0.137130834,0.064768368,-0.103703289,21.56231849
dti,24.701,25.7301,0.108836725,0.071103262,-0.203815824,18.87291674
dti,25.7301,inf,0.132882165,0.079514312,-0.324715757,15.62508676
all_util,0,44,0.221355629,0.043917375,0.306854127,27.78848887
all_util,44,54,0.156492623,0.050646412,0.15723274,26.11100266
all_util,54,65,0.210981796,0.059262101,-0.008985603,24.24743903
all_util,65,77,0.148485906,0.065606159,-0.117451734,23.03136663
all_util,77,inf,0.262684046,0.0718398,-0.214914471,21.93865924
il_util,0,70,0.52122564,0.048791375,0.196499672,26.34326812
il_util,70,inf,0.47877436,0.06961905,-0.181124287,22.50920311
mo_sin_rcnt_rev_tl_op,0,2,0.077027348,0.082014577,-0.358395676,18.08097023
mo_sin_rcnt_rev_tl_op,2,6,0.28547006,0.064918498,-0.106179087,22.49144377
mo_sin_rcnt_rev_tl_op,6,17,0.379426329,0.058347553,0.00753866,24.48000889
mo_sin_rcnt_rev_tl_op,17,35,0.181554709,0.049059758,0.190731944,27.68348227
mo_sin_rcnt_rev_tl_op,35,inf,0.076521554,0.037477692,0.472131189,32.60426853
home_ownership,0,0,0.493983582,0.049751702,0.175998456,30.18210371
home_ownership,1,3,0.11878569,0.063870556,-0.088784887,21.40517765
home_ownership,4,inf,0.387230728,0.06869212,-0.166724749,18.82166014
tot_cur_bal,0,23223,0.18383584,0.05989655,-0.020309164,23.7010005
tot_cur_bal,23223,100594,0.354344011,0.069629016,-0.18127815,18.57149015
tot_cur_bal,100594,202105,0.184882833,0.052581183,0.117702742,28.09895017
tot_cur_bal,202105,338884,0.163376478,0.049595988,0.17929705,30.06174217
tot_cur_bal,338884,inf,0.113560839,0.046276501,0.25205932,32.38041749
total_rev_hi_lim,0,12901,0.201933144,0.068129446,-0.15789578,20.83631658
total_rev_hi_lim,12901,32440,0.418822613,0.061735402,-0.052505736,23.18036654
total_rev_hi_lim,32440,58351,0.238537446,0.05449418,0.079945964,26.12631276
total_rev_hi_lim,58351,90001,0.090415712,0.046598792,0.244781017,29.79251864
total_rev_hi_lim,90001,inf,0.050291084,0.038519562,0.443627835,34.21520278
